Season,Week Number,Baker,Week Name,Bake,Signature Bake,Signature Time Allotment (hours),Signature Sweet (1) or Savory (0),Signature Quantity,Signature Handshake,Technical Bake,Technical Recipe Writer,Technical Time Allotment (hours),Technical Sweet (1) or Savory (0),Technical Quantity,Technical Rank,Showstopper,Showstopper Bake,Showstopper Time Allotment (hours),Showstopper Sweet (1) or Savory (0),Showstopper Quantity,Showstopper Handshake,Favorite,Least Favorite,Star Baker,Eliminated,Competed,Winner,UK viewers (millions)
Series 1,1,Annetha,Cake,Cake,Light Jamaican Black Cake with Strawberries and Cream,3,1,1,0,Victoria Sandwich,Mary,,1,1,2,Chocolate Celebration Cake,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",,1,1,0,1,0,0,0,1,0,
Series 1,1,David,Cake,Cake,Chocolate Orange Cake,3,1,1,0,Victoria Sandwich,Mary,,1,1,3,Chocolate Celebration Cake,"Black Forest Floor Gateaux with Moulded Chocolate Leaves, Fallen Fruit and Chocolate Mushrooms Moulded from eggs",,1,1,0,0,1,0,0,1,0,
Series 1,1,Edd,Cake,Cake,Caramel Cinnamon and Banana Cake,3,1,1,0,Victoria Sandwich,Mary,,1,1,1,Chocolate Celebration Cake,N/A,,1,1,0,0,0,0,0,1,1,
Series 1,1,Jasminder,Cake,Cake,Fresh Mango and Passion Fruit Hummingbird Cake,3,1,1,0,Victoria Sandwich,Mary,,1,1,N/A,Chocolate Celebration Cake,N/A,,1,1,0,0,0,0,0,1,0,
Series 1,1,Jonathan,Cake,Cake,Carrot Cake with Lime and Cream Cheese Icing,3,1,1,0,Victoria Sandwich,Mary,,1,1,9,Chocolate Celebration Cake,Three Tiered White and Dark Chocolate with Almond and Cherry,,1,1,0,0,0,0,0,1,0,
Series 1,1,Lea,Cake,Cake,Cranberry and Pistachio Cake with Orange Flower Water Icing,3,1,1,0,Victoria Sandwich,Mary,,1,1,10,Chocolate Celebration Cake,Raspberries and Cream filled Chocolate with Chocolate-dipped Fresh Fruit,,1,1,0,0,0,0,1,1,0,
Series 1,1,Louise,Cake,Cake,Carrot and Orange Cake,3,1,1,0,Victoria Sandwich,Mary,,1,1,N/A,Chocolate Celebration Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",,1,1,0,0,1,0,1,1,0,
Series 1,1,Mark,Cake,Cake,Sticky Marmalade Tea Loaf,3,1,1,0,Victoria Sandwich,Mary,,1,1,N/A,Chocolate Celebration Cake,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,,1,1,0,0,0,0,0,1,0,
Series 1,1,Miranda,Cake,Cake,Triple Layered Brownie Meringue Cake with Raspberry Cream,3,1,1,0,Victoria Sandwich,Mary,,1,1,8,Chocolate Celebration Cake,Three Tiered Chocolate Fudge Cake with Handmade Chocolate Button Decorations,,1,1,0,1,0,0,0,1,0,
Series 1,1,Ruth,Cake,Cake,Three Tiered Lemon Drizzle Cake with Fresh Cream and freshly made Lemon Curd,3,1,1,0,Victoria Sandwich,Mary,,1,1,N/A,Chocolate Celebration Cake,Classic Chocolate Sponge wrapped in a Chocolate Collar topped with Handmade White and Dark Chocolate Truffles,,1,1,0,1,0,0,0,1,0,
Series 1,2,Annetha,Biscuits,Biscuits,Rose Petal Shortbread,2,1,,0,Scones,Paul,1,1,,7,"Petit fours; Meringues, Choux Pastry and Macarons",Pink Swirl Macarons / Eclairs,4,1,,0,0,0,0,1,1,0,
Series 1,2,David,Biscuits,Biscuits,Cheddar Cheese and Fresh Rosemary Biscuits,2,0,,0,Scones,Paul,1,1,,8,"Petit fours; Meringues, Choux Pastry and Macarons","Choux Pastry Swans, Chocolate Profiteroles",4,1,,0,0,1,0,0,1,0,
Series 1,2,Edd,Biscuits,Biscuits,Oatmeal Raisin Cookie,2,1,,0,Scones,Paul,1,1,,6,"Petit fours; Meringues, Choux Pastry and Macarons",Pink Macarons,4,1,,0,1,0,0,0,1,1,
Series 1,2,Jasminder,Biscuits,Biscuits,Millionaires' Shortbread,2,1,,0,Scones,Paul,1,1,,2,"Petit fours; Meringues, Choux Pastry and Macarons","Meringues with Chocolate and Space Dust, Coffee flavoured Eclairs",4,1,,0,0,0,0,0,1,0,
Series 1,2,Jonathan,Biscuits,Biscuits,Honey and Candied Ginger Cookies,2,1,,0,Scones,Paul,1,1,,1,"Petit fours; Meringues, Choux Pastry and Macarons",Meringues with Whiskey Cream,4,1,,0,1,0,0,0,1,0,
Series 1,2,Louise,Biscuits,Biscuits,Stained Glass Window Shortbread,2,1,,0,Scones,Paul,1,1,,4,"Petit fours; Meringues, Choux Pastry and Macarons","Strawberry, Mint, and Cream Meringues, Chocolate Eclairs, Orange, Yellow and Pink Macarons",4,1,,0,0,0,0,1,1,0,
Series 1,2,Miranda,Biscuits,Biscuits,Fresh Vanilla Biscuits with Royal Icing,2,1,,0,Scones,Paul,1,1,,3,"Petit fours; Meringues, Choux Pastry and Macarons",Pistachio Macarons,4,1,,0,1,0,0,0,1,0,
Series 1,2,Ruth,Biscuits,Biscuits,Peanut Shortbread with Salted Peanut Caramel,2,1,,0,Scones,Paul,1,1,,5,"Petit fours; Meringues, Choux Pastry and Macarons","Almond Macaron with Violet Buttercream, Raspberries and Cream Eclairs",4,1,,0,0,0,0,0,1,0,
Series 1,3,David,Bread,Breads,Chilli Bread,3.5,0,1,0,Cobs,Paul,2.5,,,4,12 Sweet and 12 Savoury Rolls,"Walnut and Seed Roll, Red Berry and Almond Bun",6,1,24,0,0,1,0,0,1,0,
Series 1,3,Edd,Bread,Breads,Olive Bread        ,3.5,0,1,0,Cobs,Paul,2.5,,,1,12 Sweet and 12 Savoury Rolls,Tomato and Mozzarella,6,0,24,0,1,0,0,0,1,1,
Series 1,3,Jasminder,Bread,Breads,Focaccia,3.5,0,1,0,Cobs,Paul,2.5,,,5,12 Sweet and 12 Savoury Rolls,"Mango and Sultana Buns, Pan au Chocolat with Mars Bars, Tutti Frutti Wheel with Jelly Tots",6,1,24,0,0,1,0,0,1,0,
Series 1,3,Jonathan,Bread,Breads,"Anchovy, Sweet Paprika and Oregano Bread",3.5,0,1,0,Cobs,Paul,2.5,,,6,12 Sweet and 12 Savoury Rolls,"Sticky Lemon Honey Bun, Olive and Anchovy Roll, Sundried Tomatoes and Fresh Herbs Roll, Stilton, Walnut and Apple Roll, Cinnamon and Cardamom Chelsea Bun",6,0,24,0,0,0,0,1,1,0,
Series 1,3,Miranda,Bread,Breads,Walnut and Apricot Bread,3.5,1,1,0,Cobs,Paul,2.5,,,3,12 Sweet and 12 Savoury Rolls,"Lemon Iced Buns, Chocolate and Orange Buns",6,1,24,0,0,0,0,0,1,0,
Series 1,3,Ruth,Bread,Breads,Maple and Pecan Bread,3.5,1,1,0,Cobs,Paul,2.5,,,2,12 Sweet and 12 Savoury Rolls,"Chocolate and Orange Panettone, Cranberry Bagels",6,1,24,0,1,0,0,0,1,0,
Series 1,4,David,Pudding,Puddings,Pear and Walnut Pudding       ,2.5,1,,0,Hot Lemon Souffle,Mary,0.67,1,1,5,"3 Puddings; Crumble, Bread, and Suet","Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",5,1,3,0,0,0,0,1,1,0,
Series 1,4,Edd,Pudding,Puddings,Apple and Plum Pudding,2.5,1,,0,Hot Lemon Souffle,Mary,0.67,1,1,3,"3 Puddings; Crumble, Bread, and Suet","Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer",5,1,3,0,0,1,0,0,1,1,
