title,judge,makes,difficulty,hands_on_time,baking_time,ingredients,recipe_image,judge_image
Rahul’s Spiced Apple & Plum Nut Crumble with Orange & Ginger Ice Cream,Rahul,8,Needs skill,"2 hrs, plus freezing",35 mins,"[<div class=""recipe-sidebar__section__content"">
<h5>For the ice cream:</h5>
<p>340ml whole milk</p>
<p>2 tsp vanilla extract</p>
<p>Finely grated zest of 1 large unwaxed orange</p>
<p>7–8 cardamom pods, lightly crushed</p>
<p>4 large egg yolks </p>
<p>1 tsp cornflour</p>
<p>60g dark muscovado sugar</p>
<p>4 knobs of stem ginger, finely chopped </p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the praline:</h5>
<p>50g caster sugar</p>
<p>25g roasted hazelnuts, chopped</p>
<p>25g toasted flaked almonds </p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the fruit filling:</h5>
<p>250g cooking apples </p>
<p>1 Granny Smith apple </p>
<p>1 gala apple</p>
<p>15g unsalted butter</p>
<p>1 cinnamon stick</p>
<p>2 star anise</p>
<p>Pinch of grated nutmeg</p>
<p>1 tbsp dark muscovado or soft dark sugar</p>
<p>Juice and finely grated zest of ½ unwaxed lemon</p>
<p>600g red plums </p>
<p>1 tbsp ground almonds</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the crumble topping:</h5>
<p>100g plain flour</p>
<p>100g unsalted butter, chilled</p>
<p>100g porridge oats</p>
<p>50g dark muscovado or dark brown soft sugar</p>
<p>25g demerara sugar</p>
<p>25g toasted flaked almonds</p>
<p>25g roasted chopped hazelnuts</p>
<p>Pinch of ground cinnamon</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the honeycomb:</h5>
<p>100g caster sugar</p>
<p>90g golden syrup</p>
<p>1½ tsp bicarbonate of soda</p>
<p>1 tsp ground ginger</p>
<p>Pinch of salt</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the caramel sauce:</h5>
<p>100g caster sugar</p>
<p>100ml double cream</p>
<p>1 tsp ground ginger</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the apple roses:</h5>
<p>2 red gala apples </p>
<p>Juice of ½ lemon</p>
<p>A little boiling water from a kettle</p>
<p>2 tbsp apricot jam, warmed</p>
<p>1 Granny Smith apple, for the leaves </p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>You will need:</h5>
<p>2 small baking trays lined with foil </p>
<p>Ice-cream maker (optional)</p>
<p>1.5–2-litre ovenproof baking dish</p>
<p>Sugar thermometer</p>
<p>8-hollow mini muffin tin</p>
</div>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/12/201014_045B_SpicedAppleCrumble-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-10-100x100.jpg
Nancy’s Caribbean Crumble with Lime-crusted Coconut Ice Cream,Nancy,6,Easy,1 hr,30 mins,"[<div class=""recipe-sidebar__section__content"">
<h5>For the coconut ice cream:</h5>
<p>2 large egg yolks</p>
<p>50g caster sugar</p>
<p>400ml full-fat coconut milk, chilled</p>
<p>4 tbsp coconut milk powder</p>
<p>3 tbsp coconut liqueur</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the lime crumb:</h5>
<p>Finely grated zest of 1 unwaxed lime</p>
<p>2 tsp caster sugar</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the crumble:</h5>
<p>120g plain flour</p>
<p>50g ground rice</p>
<p>80g unsalted butter, at room temperature</p>
<p>30g porridge oats</p>
<p>30g desiccated coconut</p>
<p>1 tsp ground nutmeg</p>
<p>40g demerera sugar</p>
<p>40g demerara sugar cubes, crushed</p>
<p>1 large egg white</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the fruit base:</h5>
<p>1 large pineapple with leaves</p>
<p>2 large ripe mangoes</p>
<p>2 large ripe bananas</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>To decorate:</h5>
<p>Toasted coconut flakes</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>You will need:</h5>
<p>Ice-cream maker (optional)</p>
<p>Mandolin (optional)</p>
<p>6-hollow muffin tray</p>
<p>23cm round, shallow baking dish </p>
<p>3–4cm flower cutter </p>
</div>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/12/201014_043B_CaribbeanCrumble-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2014/07/NANCY-320-100x100.jpg
"Rosie’s Date, Cranberry & Mace Panettones",Rosie,6,Needs skill,2 hrs,45 mins,"[<div class=""recipe-sidebar__section__content"">
<h5>For the panettone dough:</h5>
<p>410g extra-strong Canadian bread flour</p>
<p>185ml whole milk </p>
<p>7g fast-action dried yeast </p>
<p>2 large eggs, plus 1 beaten egg to glaze</p>
<p>1 egg yolk</p>
<p>1 tsp vanilla paste</p>
<p>½ tsp salt</p>
<p>1 tsp ground mace </p>
<p>½ tsp mixed spice </p>
<p>Finely grated zest of 2 large unwaxed oranges</p>
<p>Finely grated zest of 1 unwaxed lemon</p>
<p>125g golden caster sugar</p>
<p>20g dark agave nectar </p>
<p>95g unsalted butter, cubed</p>
<p>1 tbsp cider brandy</p>
<p>35g pitted dates, chopped</p>
<p>55g mixed chopped peel</p>
<p>40g dried cranberries </p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the gingerbread:</h5>
<p>75g light muscovado sugar</p>
<p>30g golden syrup</p>
<p>25ml freshly squeezed orange juice</p>
<p>½ tsp vanilla paste</p>
<p>95g unsalted butter, cubed</p>
<p>225g plain flour</p>
<p>1 tbsp ground ginger</p>
<p>¼ tsp salt</p>
<p>½ tsp ground mace</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the caramel ‘glue’:</h5>
<p>150g caster sugar</p>
<p>45ml water</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the royal icing:</h5>
<p>300g icing sugar, sifted</p>
<p>1 tsp liquid glucose</p>
<p>40g pasteurised egg whites</p>
<p>Red food-colouring gel</p>
<p>Green food-colouring gel</p>
<p>1 tsp cider brandy</p>
<p>Edible sliver lustre spray (optional) </p>
<p>Desiccated coconut, to sprinkle </p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>You will need:</h5>
<p>3-piece mini gingerbread house biscuit cutters</p>
<p>7.5cm x 5.5cm chef’s rings x 6, lightly greased</p>
<p>Mini panettone wrappers x 6</p>
<p>1 proving bag </p>
<p>2 small piping bags, fitted with writing nozzles</p>
<p>1 small piping bag, fitted with a small round nozzle</p>
</div>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/12/201104_052B_GingerbreadPannetone-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Rosie-1080-100x100.jpg
"Ruby’s Boozy Chai, Cherry & Chocolate Panettones",Ruby,16-18,Needs skill,"1 hr, plus rising",25 mins,"[<div class=""recipe-sidebar__section__content"">
<h5>For the soaked fruits:</h5>
<p>200ml almond liqueur</p>
<p>100g mixed peel </p>
<p>150g dried cherries</p>
<p>100g sultanas </p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the dough:</h5>
<p>270ml whole milk</p>
<p>2tsp vanilla paste</p>
<p>2½ tsp almond extract</p>
<p>2 tsp ground cinnamon</p>
<p>1 tsp ground cardamom</p>
<p>½ tsp ground ginger</p>
<p>⅛ tsp ground cloves</p>
<p>Finely grated zest of 1 large unwaxed orange</p>
<p>100g unsalted butter, cubed, at room temperature</p>
<p>575g strong white bread flour </p>
<p>10g salt</p>
<p>50g caster sugar</p>
<p>2 x 7g sachets of fast-action dried yeast</p>
<p>2 large eggs</p>
<p>125g dark chocolate chips </p>
<p>100g milk chocolate chips </p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the marzipan:</h5>
<p>125g ground almonds</p>
<p>60g caster sugar </p>
<p>60g icing sugar</p>
<p>1 egg yolk</p>
<p>½ tsp vanilla paste</p>
<p>½ tsp almond extract</p>
<p>1 tsp egg white, if needed</p>
<p>Red and green food-colouring gels</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the chocolate ganache:</h5>
<p>75ml double cream</p>
<p>50g 70% dark chocolate, finely chopped</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the glaze:</h5>
<p>1 tsp vanilla paste</p>
<p>1 tbsp caster sugar</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>You will need:</h5>
<p>18 small panettone paper cases (6cm diameter base)</p>
<p>1 small holly leaf cutter </p>
<p>Proving bag (optional)</p>
<p>Cooking thermometer (optional)</p>
</div>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/12/201014_044B_Panatone-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-100x100.jpg
Dave’s Caramel Latte Custard Slices,Dave,8,Needs skill,1 hr 30 mins,35 mins,"[<div class=""recipe-sidebar__section__content"">
<h5>For the rough puff pastry:</h5>
<p>280g plain flour, sifted, plus extra for dusting</p>
<p>1 tsp fine sea salt</p>
<p>250g unsalted butter, cubed and well chilled</p>
<p>100ml ice-cold water, plus extra if needed</p>
<p>40g flaked almonds</p>
<p>25g icing sugar</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the filling:</h5>
<p>725g whole milk</p>
<p>2 tbsp instant coffee</p>
<p>7 large egg yolks </p>
<p>170g golden caster sugar</p>
<p>75g cornflour</p>
<p>1 platinum-grade gelatine leaf</p>
<p>70g unsalted butter, diced</p>
<p>1 tsp vanilla paste</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the glaze &amp; decoration:</h5>
<p>1 platinum-grade gelatine leaf</p>
<p>100g caster sugar</p>
<p>60ml double cream</p>
<p>60g unsalted butter</p>
<p>50g 70% dark chocolate, chopped </p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the caramel-coated coffee beans:</h5>
<p>50g caster sugar</p>
<p>8 coffee beans </p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>You will need:</h5>
<p>4 baking sheets lined with baking paper</p>
<p>2 pieces of baking paper cut to the size of the baking sheets</p>
<p>20cm square cake tin</p>
<p>Sugar thermometer</p>
<p>1 piping bag fitted with a fine writing nozzle</p>
</div>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/11/201012_037_CaramellatteSlice-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Dave-100x100.jpg
Peter’s Strawberry & Elderflower Babas,Peter,24,Needs skill,"1 hr, plus rising",20 mins,"[<div class=""recipe-sidebar__section__content"">
<h5>For the savarin dough:</h5>
<p>270g strong white bread flour</p>
<p>1 tsp salt</p>
<p>7g fast-action dried yeast</p>
<p>40g caster sugar</p>
<p>85ml whole milk</p>
<p>4 eggs</p>
<p>95g unsalted butter, well softened</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the elderflower syrup:</h5>
<p>100ml elderflower cordial</p>
<p>150g caster sugar</p>
<p>Juice and pared strips of peel from 2 unwaxed lemons</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the strawberry crème pâtissière:</h5>
<p>150g strawberries, hulled</p>
<p>1 egg yolk</p>
<p>25g caster sugar</p>
<p>1 tbsp cornflour</p>
<p>1 tsp unsalted butter</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the elderflower crème pâtissière:</h5>
<p>1 egg yolk</p>
<p>20g caster sugar</p>
<p>1 tbsp cornflour</p>
<p>55ml elderflower cordial </p>
<p>10ml lemon juice</p>
<p>50ml whole milk</p>
<p>1 tsp unsalted butter</p>
<p>200g double cream</p>
<p>2 tbsp icing sugar</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>To decorate:</h5>
<p>6 whole strawberries</p>
<p>A few fresh elderflower heads or edible flowers</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>You will need:</h5>
<p>Large disposable piping bag </p>
<p>2 silicone mini rectangular cake trays, each with bars measuring 12 x 8 x 3cm and 2.5 deep </p>
<p>2 small disposable piping bags </p>
</div>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/11/201012_039_StrawberryElderflowerBabas-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Peter-100x100.jpg
"Laura’s Poached Pineapple, Kiwi & Passion Fruit Rum Babas",Laura,12,Needs skill,"1 hr 30 mins, plus rising",20 mins,"[<div class=""recipe-sidebar__section__content"">
<h5>For the savarin dough:</h5>
<p>120ml whole milk</p>
<p>300g plain flour or strong white bread flour</p>
<p>10g caster sugar</p>
<p>½ tsp salt</p>
<p>15g fresh yeast </p>
<p>2 large eggs, lightly beaten </p>
<p>80g unsalted butter, softened and diced, plus extra for greasing</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the poached pineapple &amp; syrup:</h5>
<p>500g caster sugar</p>
<p>2 star anise</p>
<p>2 cinnamon sticks</p>
<p>1 vanilla pod, halved</p>
<p>4 strips of the pared rind of 1 unwaxed orange</p>
<p>4 strips of the pared rind of 1 unwaxed lemon</p>
<p>½ ripe pineapple, skinned, quartered, cored and cut into 1cm slices</p>
<p>175ml golden rum </p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the mascarpone cream:</h5>
<p>300ml whipping cream </p>
<p>250g mascarpone</p>
<p>50g icing sugar</p>
<p>1 tsp vanilla paste</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the glaze:</h5>
<p>6 tbsp good-quality apricot jam</p>
<p>1 tbsp lemon juice</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>To decorate:</h5>
<p>2 kiwi fruit</p>
<p>3 passionfruit</p>
<p>Finely grated zest of 2 unwaxed limes</p>
<p>12 mint leaves or micro-mint sprigs</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>You will need:</h5>
<p>Large piping bag fitted with a 1cm plain nozzle</p>
<p>12-hole mini kugelhopf tin, buttered</p>
<p>Large piping bag fitted with a saint-honore or small closed star nozzle</p>
<p>12 mini disposable pipettes</p>
</div>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/11/201010_033_ExoticRumAuBaba-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Laura-100x100.jpg
Laura’s Vanilla Cheesecakes with Passionfruit Curd,Laura,6,Needs skill,"45 mins, plus 30 mins freezing",35 mins,"[<div class=""recipe-sidebar__section__content"">
<h5>For the biscuit base:</h5>
<p>45g plain flour</p>
<p>Pinch of salt</p>
<p>45g porridge oats</p>
<p>45g caster sugar</p>
<p>75g unsalted butter </p>
<p>50g runny honey</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the filling:</h5>
<p>440g full-fat cream cheese</p>
<p>100g caster sugar</p>
<p>1 tsp vanilla essence</p>
<p>1 egg</p>
<p>1 egg yolk</p>
<p>125ml double cream</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the passionfruit curd:</h5>
<p>1 platinum-grade gelatine leaf </p>
<p>12–13 passionfruits</p>
<p>1 egg </p>
<p>1 egg yolk</p>
<p>50g caster sugar</p>
<p>65g unsalted butter, cubed and chilled</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>To decorate:</h5>
<p>Finely grated zest of ½ unwaxed orange</p>
<p>6 tsp soured cream </p>
<p>1 chunk of mango, finely diced </p>
<p>6 micro mint sprigs</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>You will need:</h5>
<p>Baking tray lined with baking paper</p>
<p>Silicone tray of six 7cm-diameter cylinder dessert moulds </p>
<p>7cm round biscuit cutter</p>
</div>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/11/201010_032_VanillaCheesecakePassionFruit-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Laura-100x100.jpg
Dave’s ‘Celebration of Citrus’ Cheesecakes,Dave,6,Easy,1 hr 45 mins,1 hr 30 mins,"[<div class=""recipe-sidebar__section__content"">
<h5>For the base:</h5>
<p>85g plain flour </p>
<p>25g ground almonds</p>
<p>50g unsalted butter, chilled</p>
<p>20g dark brown soft sugar </p>
<p>Pinch of salt </p>
<p>Finely grated zest of ½ unwaxed orange</p>
<p>1 tsp orange juice</p>
<p>¼ tsp orange extract </p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the filling:</h5>
<p>215g full-fat cream cheese</p>
<p>215g mascarpone </p>
<p>110g golden caster sugar </p>
<p>2 large eggs </p>
<p>1 egg yolk</p>
<p>Zest of ½ unwaxed lemon</p>
<p>1 tbsp lemon juice </p>
<p>½ tsp lemon extract</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the meringue:</h5>
<p>1 large egg white</p>
<p>60g granulated sugar </p>
<p>¼ tsp finely grated lime zest</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the glaze:</h5>
<p>2 platinum-grade gelatine leaves</p>
<p>4 passionfruits </p>
<p>135ml freshly squeezed orange juice </p>
<p>35g caster sugar </p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>You will need:</h5>
<p>6cm square x 3.5cm deep dessert moulds x 6 </p>
<p>2 baking trays, lined with baking paper</p>
<p>Small piping bag fitted with a small star nozzle </p>
</div>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/11/201010_034_CitrusMeringueCheesecake-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Dave-100x100.jpg
"Hermine’s Salmon & Leek, and Spinach & Mushroom Quiches",Hermine,8,Needs skill,1 hr 45 mins,45 mins,"[<div class=""recipe-sidebar__section__content"">
<h5>For the shortcrust pastry:</h5>
<p>500g plain flour, plus extra for dusting</p>
<p>½ tsp salt </p>
<p>200g unsalted butter, cubed and chilled </p>
<p>100g vegetable shortening, cubed and chilled</p>
<p>2 large eggs, beaten </p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the custard:</h5>
<p>20g unsalted butter</p>
<p>2 shallots, finely diced</p>
<p>2 tsp Dijon mustard</p>
<p>1 vegetable stock cube, crumbled</p>
<p>200ml double cream</p>
<p>4 large eggs, beaten</p>
<p>125g grated gruyère cheese </p>
<p>Salt and freshly ground black pepper</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the leek &amp; salmon filling:</h5>
<p>20g unsalted butter</p>
<p>2 small leeks, trimmed and thinly sliced</p>
<p>175–200g lightly smoked raw salmon fillets, cut into 1cm dice </p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>For the spinach &amp; mushroom filling:</h5>
<p>20g unsalted butter</p>
<p>200g shiitake mushrooms, halved</p>
<p>200g baby spinach leaves</p>
</div>, <div class=""recipe-sidebar__section__content"">
<h5>You will need:</h5>
<p>12cm loose-bottomed tart tins x 8</p>
<p>Squares of foil or baking paper x 8 (large enough to overhang the tart tins)</p>
<p>Baking beans</p>
</div>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/11/201009_028_SalmonMushrromQuiches-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Hermine-100x100.jpg
