title,judge,makes,difficulty,hands_on_time,baking_time,ingredients,recipe_image,judge_image
Rahul’s Spiced Apple & Plum Nut Crumble with Orange & Ginger Ice Cream,Rahul,8,Needs skill,"2 hrs, plus freezing",35 mins,"[<h5>For the ice cream:</h5>, <p>340ml whole milk</p>, <p>2 tsp vanilla extract</p>, <p>Finely grated zest of 1 large unwaxed orange</p>, <p>7–8 cardamom pods, lightly crushed</p>, <p>4 large egg yolks </p>, <p>1 tsp cornflour</p>, <p>60g dark muscovado sugar</p>, <p>4 knobs of stem ginger, finely chopped </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/12/201014_045B_SpicedAppleCrumble-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-10-100x100.jpg
Nancy’s Caribbean Crumble with Lime-crusted Coconut Ice Cream,Nancy,6,Easy,1 hr,30 mins,"[<h5>For the coconut ice cream:</h5>, <p>2 large egg yolks</p>, <p>50g caster sugar</p>, <p>400ml full-fat coconut milk, chilled</p>, <p>4 tbsp coconut milk powder</p>, <p>3 tbsp coconut liqueur</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/12/201014_043B_CaribbeanCrumble-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2014/07/NANCY-320-100x100.jpg
"Rosie’s Date, Cranberry & Mace Panettones",Rosie,6,Needs skill,2 hrs,45 mins,"[<h5>For the panettone dough:</h5>, <p>410g extra-strong Canadian bread flour</p>, <p>185ml whole milk </p>, <p>7g fast-action dried yeast </p>, <p>2 large eggs, plus 1 beaten egg to glaze</p>, <p>1 egg yolk</p>, <p>1 tsp vanilla paste</p>, <p>½ tsp salt</p>, <p>1 tsp ground mace </p>, <p>½ tsp mixed spice </p>, <p>Finely grated zest of 2 large unwaxed oranges</p>, <p>Finely grated zest of 1 unwaxed lemon</p>, <p>125g golden caster sugar</p>, <p>20g dark agave nectar </p>, <p>95g unsalted butter, cubed</p>, <p>1 tbsp cider brandy</p>, <p>35g pitted dates, chopped</p>, <p>55g mixed chopped peel</p>, <p>40g dried cranberries </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/12/201104_052B_GingerbreadPannetone-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Rosie-1080-100x100.jpg
"Ruby’s Boozy Chai, Cherry & Chocolate Panettones",Ruby,16-18,Needs skill,"1 hr, plus rising",25 mins,"[<h5>For the soaked fruits:</h5>, <p>200ml almond liqueur</p>, <p>100g mixed peel </p>, <p>150g dried cherries</p>, <p>100g sultanas </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/12/201014_044B_Panatone-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-100x100.jpg
Dave’s Caramel Latte Custard Slices,Dave,8,Needs skill,1 hr 30 mins,35 mins,"[<h5>For the rough puff pastry:</h5>, <p>280g plain flour, sifted, plus extra for dusting</p>, <p>1 tsp fine sea salt</p>, <p>250g unsalted butter, cubed and well chilled</p>, <p>100ml ice-cold water, plus extra if needed</p>, <p>40g flaked almonds</p>, <p>25g icing sugar</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/11/201012_037_CaramellatteSlice-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Dave-100x100.jpg
Peter’s Strawberry & Elderflower Babas,Peter,24,Needs skill,"1 hr, plus rising",20 mins,"[<h5>For the savarin dough:</h5>, <p>270g strong white bread flour</p>, <p>1 tsp salt</p>, <p>7g fast-action dried yeast</p>, <p>40g caster sugar</p>, <p>85ml whole milk</p>, <p>4 eggs</p>, <p>95g unsalted butter, well softened</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/11/201012_039_StrawberryElderflowerBabas-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Peter-100x100.jpg
"Laura’s Poached Pineapple, Kiwi & Passion Fruit Rum Babas",Laura,12,Needs skill,"1 hr 30 mins, plus rising",20 mins,"[<h5>For the savarin dough:</h5>, <p>120ml whole milk</p>, <p>300g plain flour or strong white bread flour</p>, <p>10g caster sugar</p>, <p>½ tsp salt</p>, <p>15g fresh yeast </p>, <p>2 large eggs, lightly beaten </p>, <p>80g unsalted butter, softened and diced, plus extra for greasing</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/11/201010_033_ExoticRumAuBaba-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Laura-100x100.jpg
Laura’s Vanilla Cheesecakes with Passionfruit Curd,Laura,6,Needs skill,"45 mins, plus 30 mins freezing",35 mins,"[<h5>For the biscuit base:</h5>, <p>45g plain flour</p>, <p>Pinch of salt</p>, <p>45g porridge oats</p>, <p>45g caster sugar</p>, <p>75g unsalted butter </p>, <p>50g runny honey</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/11/201010_032_VanillaCheesecakePassionFruit-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Laura-100x100.jpg
Dave’s ‘Celebration of Citrus’ Cheesecakes,Dave,6,Easy,1 hr 45 mins,1 hr 30 mins,"[<h5>For the base:</h5>, <p>85g plain flour </p>, <p>25g ground almonds</p>, <p>50g unsalted butter, chilled</p>, <p>20g dark brown soft sugar </p>, <p>Pinch of salt </p>, <p>Finely grated zest of ½ unwaxed orange</p>, <p>1 tsp orange juice</p>, <p>¼ tsp orange extract </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/11/201010_034_CitrusMeringueCheesecake-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Dave-100x100.jpg
"Hermine’s Salmon & Leek, and Spinach & Mushroom Quiches",Hermine,8,Needs skill,1 hr 45 mins,45 mins,"[<h5>For the shortcrust pastry:</h5>, <p>500g plain flour, plus extra for dusting</p>, <p>½ tsp salt </p>, <p>200g unsalted butter, cubed and chilled </p>, <p>100g vegetable shortening, cubed and chilled</p>, <p>2 large eggs, beaten </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/11/201009_028_SalmonMushrromQuiches-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Hermine-100x100.jpg
