title,judge,makes,difficulty,hands_on_time,baking_time,ingredients,recipe_image,judge_image
Helena’s Altar Candle Cake,Helena,6-8,Needs skill,1 hr 15 mins,35 mins,"[<h5>For the chocolate sponge:</h5>, <p>315g plain flour </p>, <p>600g caster sugar </p>, <p>125g cocoa powder </p>, <p>3 tsp bicarbonate of soda</p>, <p>1½ tsp baking powder</p>, <p>1½ tsp salt</p>, <p>360ml buttermilk </p>, <p>180ml vegetable oil</p>, <p>1½ tsp vanilla paste</p>, <p>3 extra-large eggs</p>, <p>360ml freshly brewed coffee, cooled </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/12/201103_050B_CandleCake-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Helena-1080-100x100.jpg
"Henry’s Three-tier Raspberry, Thyme & Roasted Rhubarb Cake",Henry,50,Challenging,3 hrs,1 hr 30 mins,"[<h5>For two 20cm sponges:</h5>, <p>8 large eggs</p>, <p>600g caster sugar</p>, <p>240ml sunflower oil</p>, <p>500g plain flour</p>, <p>30g baking powder</p>, <p>½ tsp salt</p>, <p>240ml semi-skimmed milk</p>, <p>Finely grated zest of 6 unwaxed lemons</p>, <p>220ml lemon juice (about 4 lemons)</p>, <p>40ml limoncello</p>, <p>1 tbsp vanilla paste</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/12/201106_057_RhubarbCake-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10_Henry-1080-100x100.jpg
Jamie’s Chocolate Mousse Milkshake & Churros,Jamie,6,Easy,1 hr,20 mins,"[<h5>For the mousse:</h5>, <p>300ml double cream </p>, <p>4 large egg yolks </p>, <p>135g caster sugar</p>, <p>150g 54% dark chocolate, chopped</p>, <p>2 tbsp orange liqueur </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/12/201014_042_Churros_ChocMousse-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Jamie-1080-100x100.jpg
James’s Cola Cake,James,12,Needs skill,1 hr 30 mins,25 mins,"[<h5>For the sponges:</h5>, <p>100g 70% dark chocolate, broken up </p>, <p>235g unsalted butter, plus extra for greasing </p>, <p>400g plain flour, sifted </p>, <p>500g caster sugar</p>, <p>1 tsp ground cinnamon</p>, <p>40g cocoa powder, sifted </p>, <p>1¼ tsp bicarbonate of soda</p>, <p>270ml buttermilk</p>, <p>2 large eggs </p>, <p>50ml cola concentrate</p>, <p>1 x 425g tin of black cherries, in light syrup</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/12/201106_060C_ColaCake-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-James-1045_l-100x100.jpg
Laura’s Rainbow Dessert Cake,Laura,12,Easy,"1 hr 30 mins, plus hardening",30 mins,"[<h5>For the fondant rainbow:</h5>, <p>350g ready-to-roll white fondant icing</p>, <p>Blue, orange, green, pink, yellow and red food-colouring pastes</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/11/201012_041B_RainbowCake-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Laura-100x100.jpg
Peter’s Bonkers Bake Off Bubble Cake,Peter,12+,Challenging,2-3 hrs,30 mins,"[<h5>For the craquelin:</h5>, <p>50g unsalted butter, softened</p>, <p>60g demerara sugar</p>, <p>60g plain flour</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/11/201012_038B_BonkersBakeOffBubbleCake-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Peter-100x100.jpg
Dave’s Celebration of Chocolate Cube Cake,Dave,24,Challenging,4 hrs,20 mins,"[<h5>For the joconde sponge:</h5>, <p>180g icing sugar</p>, <p>180g ground almonds </p>, <p>25g cocoa powder </p>, <p>55g plain flour</p>, <p>5 large eggs </p>, <p>45g unsalted butter, melted </p>, <p>5 large egg whites (or use 150g pasteurized egg whites) </p>, <p>45g golden caster sugar </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/11/201012_040B_CelebrationChocCubeCake-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Dave-100x100.jpg
Hermine’s Chocolate & Raspberry Mousse Jelly Cake,Hermine,12,Challenging,"2 hrs 30 mins, plus overnight chilling",15 mins,"[<h5>For the clear jelly:</h5>, <p>4 x 12g sachets of powdered gelatine</p>, <p>200g caster sugar</p>, <p>1–2 tsp raspberry flavouring </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/11/201010_035B_ChocRaspberryMousseJellyCake-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Hermine-100x100.jpg
Peter’s ‘Christmas Ice Cream Cake’,Peter,12+,Needs skill,"2 hours, plus overnight freezing",25 mins,"[<h5>For the cake:</h5>, <p>190g unsalted butter, softened</p>, <p>190g dark muscovado sugar</p>, <p>3 large eggs</p>, <p>265g gluten-free plain flour</p>, <p>1 tsp baking powder </p>, <p>¼ tsp xanthan gum</p>, <p>1 tsp mixed spice</p>, <p>1 tsp ground cinnamon</p>, <p>¼ tsp ground nutmeg</p>, <p>¼ tsp ground ginger</p>, <p>550g mixed dried fruit </p>, <p>75g glace cherries, halved</p>, <p>75g blanched almonds, roughly chopped</p>, <p>75g mixed peel</p>, <p>3 tbsp brandy</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/11/201009_026B_IceCreamChristmasCake-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Peter-100x100.jpg
Marc’s Retro Ice Cream Parlour,Marc,12,Needs skill,"2 hrs, plus overnight freezing",30 mins,"[<h5>For the honey &amp; hazelnut ice cream:</h5>, <p>30g unsalted butter</p>, <p>100g hazelnuts, roughly chopped </p>, <p>155g wildflower honey</p>, <p>10g sea-salt flakes</p>, <p>190ml whole milk</p>, <p>375g double cream</p>, <p>1 tsp vanilla extract</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/11/201010_031B_SweetNuttyIceCreamCake-1024x450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Marc-100x100.jpg
